condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_amplitude,edm_response,beam_dB,edm_response_dB
A_PA1_to_C1,64,-53.122157124258656,182.46832309679507,-68.94955928,-41.80128557603732,167.76967860599066,-51.8,0.7928728983426259,0.7928728983426259,-1.1890772870667783,-1.1890772870667783
A_PA1_to_C1,65,-51.58546065176033,182.7202125380201,-68.77133599,-40.33850813280624,168.12824256655034,-51.8,0.7997055249495065,0.7997055249495065,-1.1145468226201551,-1.1145468226201551
A_PA1_to_C1,66,-50.03849639118689,182.96711422480485,-68.58942075,-38.87285347778319,168.4748809394959,-51.8,0.8067109601454382,0.8067109601454382,-1.038789603646993,-1.038789603646993
A_PA1_to_C1,67,-48.49704381994887,183.2046336452332,-68.42042093,-37.40284575464914,168.80242483594583,-51.8,0.8132129170019871,0.8132129170019871,-0.9690633853206603,-0.9690633853206603
A_PA1_to_C1,68,-46.95842213090162,183.4343129599212,-68.25544687,-35.931476682673924,169.1239832081736,-51.8,0.8197051068780642,0.8197051068780642,-0.8999959354239085,-0.8999959354239085
A_PA1_to_C1,69,-45.42258419096642,183.65619450427343,-68.09450829,-34.45643620525827,169.428114393136,-51.8,0.8259143592655628,0.8259143592655628,-0.8344484160456583,-0.8344484160456583
A_PA1_to_C1,70,-43.8787622893177,183.87153177002656,-67.93860190999999,-32.98041520719817,169.72759691448152,-51.8,0.8322455185289395,0.8322455185289395,-0.7681194466689444,-0.7681194466689444
A_PA1_to_C1,71,-42.3375962560249,184.07906969750528,-67.78667721,-31.500659826680927,170.0079916268572,-51.8,0.838238924443014,0.838238924443014,-0.7057922745497518,-0.7057922745497518
A_PA1_to_C1,72,-40.7904162609066,184.2786138645856,-67.64855489,-30.01826301859717,170.2741128600983,-51.8,0.8439169071717971,0.8439169071717971,-0.6471549976392609,-0.6471549976392609
A_PA1_to_C1,73,-39.25432116635803,184.470647276912,-67.50458166,-28.533952344728487,170.52934127587858,-51.8,0.8495271583200842,0.8495271583200842,-0.5896034060771591,-0.5896034060771591
A_PA1_to_C1,74,-37.71192955864806,184.6547130608793,-67.37435286,-27.04766644242221,170.77265471013763,-51.8,0.8548595504701771,0.8548595504701771,-0.5352533919577391,-0.5352533919577391
A_PA1_to_C1,75,-36.16990492038852,184.8323917734889,-67.23916818,-25.558408471373703,170.99723872929394,-51.8,0.86005228893971,0.86005228893971,-0.4826516312404676,-0.4826516312404676
A_PA1_to_C1,76,-34.632069992989635,185.0010813470263,-67.11682486,-24.068093199326583,171.21450524613522,-51.8,0.8649277872581353,0.8649277872581353,-0.43355175620275793,-0.43355175620275793
A_PA1_to_C1,77,-33.08557940770035,185.16305470719223,-66.99916852999999,-22.57579742973744,171.41792749167848,-51.8,0.8696978231857182,0.8696978231857182,-0.3857810905067012,-0.3857810905067012
A_PA1_to_C1,78,-31.54116242123334,185.31734602125127,-66.8853977,-21.08224631830522,171.61166771646626,-51.8,0.8743184157546059,0.8743184157546059,-0.3397562311913938,-0.3397562311913938
A_PA1_to_C1,79,-30.00959217550735,185.4631620147916,-66.77485483,-19.586565631896143,171.78839249921188,-51.8,0.8784366868510636,0.8784366868510636,-0.29893944621534463,-0.29893944621534463
A_PA1_to_C1,80,-28.470667299998603,185.60098894829545,-66.67779802,-18.08952941557388,171.95326470547425,-51.8,0.882265511162797,0.882265511162797,-0.2611627025100212,-0.2611627025100212
A_PA1_to_C1,81,-26.9211928060736,185.7332153226196,-66.57634082999999,-16.590633454918212,172.10001260775758,-51.8,0.886097001293711,0.886097001293711,-0.2235234150108914,-0.2235234150108914
A_PA1_to_C1,82,-25.3857445200102,185.85588493944303,-66.48705106999999,-15.090988020923998,172.23926539805706,-51.8,0.889428059052855,0.889428059052855,-0.19093222870101273,-0.19093222870101273
A_PA1_to_C1,83,-23.83976206078964,185.97289653463685,-66.39329866,-13.58992122229798,172.36193476110515,-51.8,0.8927955690189494,0.8927955690189494,-0.15810822808824687,-0.15810822808824687
A_PA1_to_C1,84,-22.30753547735299,186.0805148716172,-66.31179184,-12.08839672514318,172.4792030923647,-51.8,0.8956971128844022,0.8956971128844022,-0.12992526467860313,-0.12992526467860313
A_PA1_to_C1,85,-20.76590131418456,186.1812332310836,-66.23464585,-10.585536896452702,172.57771548522803,-51.8,0.898361097958112,0.898361097958112,-0.1041300065154163,-0.1041300065154163
A_PA1_to_C1,86,-19.22566198912001,186.27442428072143,-66.16134499,-9.08185370390441,172.66290731480478,-51.8,0.9007442666794482,0.9007442666794482,-0.08111862206121948,-0.08111862206121948
A_PA1_to_C1,87,-17.687699800423182,186.35894405850223,-66.10077749,-7.577535225013502,172.73576116223356,-51.8,0.9026623477228949,0.9026623477228949,-0.06264220480809292,-0.06264220480809292
