condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_amplitude,edm_response,beam_dB,edm_response_dB
B_PA2_to_C2,61,-38.865613156476606,155.33317426795867,-94.98009932,-50.16,197.01,-51.8,0.32826272091877595,0.32826272091877595,-0.4715957830265115,-0.4715957830265115
B_PA2_to_C2,62,-37.82938088352565,155.58230190222093,-94.9874912,-48.85,197.34,-51.8,0.32820660396046547,0.32820660396046547,-0.4730807746001409,-0.4730807746001409
B_PA2_to_C2,63,-36.794913592463125,155.82384225409396,-94.99399237,-47.54,197.66,-51.8,0.32815726309927734,0.32815726309927734,-0.47438666390100775,-0.47438666390100775
B_PA2_to_C2,64,-35.75230367802596,156.05929786860338,-95.00784574,-46.22,197.98,-51.8,0.3280520946241619,0.3280520946241619,-0.477170780784822,-0.477170780784822
B_PA2_to_C2,65,-34.713995535017084,156.28751415927476,-95.01022511,-44.9,198.28,-51.8,0.32803399476665934,0.32803399476665934,-0.47765002693045433,-0.47765002693045433
B_PA2_to_C2,66,-33.6772876205929,156.50817648187703,-95.01181216,-43.58,198.57,-51.8,0.3280219881853816,0.3280219881853816,-0.47796795053036245,-0.47796795053036245
B_PA2_to_C2,67,-32.63974209857647,156.72083583532765,-95.02335617,-42.26,198.86,-51.8,0.3279344733522309,0.3279344733522309,-0.4802856171180775,-0.4802856171180775
B_PA2_to_C2,68,-31.60384641377884,156.92596480524907,-95.03411305,-40.94,199.14,-51.8,0.32785287868433255,0.32785287868433255,-0.4824470564379297,-0.4824470564379297
B_PA2_to_C2,69,-30.5718157862406,157.12416055413155,-95.03327698,-39.62,199.4,-51.8,0.32785920124890716,0.32785920124890716,-0.4822795527429181,-0.4822795527429181
B_PA2_to_C2,70,-29.53162308836679,157.31591409419383,-95.04038364,-38.29,199.66,-51.8,0.32780537620799494,0.32780537620799494,-0.4837056427964373,-0.4837056427964373
B_PA2_to_C2,71,-28.492908147599813,157.50015450705928,-95.04681074,-36.96,199.91,-51.8,0.3277566831761785,0.3277566831761785,-0.4849959624396317,-0.4849959624396317
B_PA2_to_C2,72,-27.455624993246065,157.67692161444143,-95.05254668,-35.63,200.15,-51.8,0.3277132834551011,0.3277132834551011,-0.4861461758966703,-0.4861461758966703
B_PA2_to_C2,73,-26.417750284294744,157.84558857043692,-95.06842734,-34.3,200.39,-51.8,0.32759306991261483,0.32759306991261483,-0.4893329650049506,-0.4893329650049506
B_PA2_to_C2,74,-25.383259478362763,158.00749812419178,-95.07276046,-32.97,200.61,-51.8,0.32756023012685254,0.32756023012685254,-0.4902037314502712,-0.4902037314502712
B_PA2_to_C2,75,-24.342573476204237,158.16329226423278,-95.07471895,-31.63,200.82,-51.8,0.32754544958856724,0.32754544958856724,-0.49059567469953436,-0.49059567469953436
B_PA2_to_C2,76,-23.308831314313515,158.30972041603394,-95.08855192,-30.3,201.03,-51.8,0.3274408872043925,0.3274408872043925,-0.49336891525718346,-0.49336891525718346
B_PA2_to_C2,77,-22.268909043253355,158.4499415680276,-95.10016279,-28.96,201.23,-51.8,0.3273530773876701,0.3273530773876701,-0.49569852250161317,-0.49569852250161317
